"","LEGEND"
"","Legend for tab 'Participant Information'"
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Assay run id","String","User defined unique identifier for this assay run. Not necessarily unique across batches."
"","Batch id","String","CyTOF batch identification number. Unique to every batch."
"","Assay creator","Enum","Indicates what site is filling out the assay.","E.g. 'DFCI'"
"","Raw fcs filename(s)","String","Path to a file on a user's computer."
"","Acquisition buffer","String","Cell staining buffer used for antibody and cell dilution."
"","Debarcoding protocol","String","The strategy/kit used to barcode CyTOF samples, if any"
"","Section 'Participant info' of tab 'Participant Information'"
"","Cimac_participant_id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}$ ","Id of a participant within this clinical trial, that this assay record is based upon.","E.g. 'CTTTP01'"
"","Debarcoding_key","String","An ID that maps to the specific isotope labeling scheme in the debarcoding protocol."
"","Preprocessing_notes","String","Any notes pertaining to preprocessing of CyTOF data."
"","Section 'Control info' of tab 'Participant Information'"
"","Intermediate fcs filename","String","Path to a file on a User's computer. 
This .fcs file is an intermediate file that has been normalized, concatenated, and debarcoded, but has the veri-cells and has not been cleaned up."
"","Processed fcs filename","String","Path to a file on a user's computer."
"","Concatenation version","String","Concatenation of FCS files into a single FCS version number."
"","Normalization version","String","Version of normalization for CyTOF assay batch."
"","Debarcoding key","String","An ID that maps to the specific isotope labeling scheme in the debarcoding protocol."
"","Preprocessing_notes","String","Any notes pertaining to preprocessing of CyTOF data."
"","Legend for tab 'Sample Information'"
"","Section 'Run info' of tab 'Sample Information'"
"","Cimac id","String"
"","Intermediate fcs filename","String","Path to a file on a User's computer. 
This .fcs file is an intermediate file that has been normalized, concatenated, and debarcoded, but has the veri-cells and has not been cleaned up."
"","Section 'Preprocessing' of tab 'Sample Information'"
"","Processed fcs filename","String","Path to a file on a user's computer."
"","Concatenation version","String","Concatenation of FCS files into a single FCS version number."
"","Normalization version","String","Version of normalization for CyTOF assay batch."
"","Debarcoding key","String","An ID that maps to the specific isotope labeling scheme in the debarcoding protocol."
"","Preprocessing_notes","String","Any notes pertaining to preprocessing of CyTOF data."
"","Legend for tab 'Antibody Information'"
"","Section 'Samples' of tab 'Antibody Information'"
"","Target","String","Antibody type collected for this study."
"","Clone","String","Resulting type of antibody clone from primary antibody sample."
"","Antibody company","String","Company from which antibody sample was derived."
"","Catalog number","String","Antibody registry catalog number assigned to antibody sample."
"","Lot number","String","Identification number assigned to the particular quantity or lot of material from manufacturer."
"","Isotope","String","Antibody isotype used to help differentiate antibody signals."
"","Dilution","String","Concentration ratio of dilution buffer for primary antibody."
"","Stain_type","Enum","Type of staining method used for antibody.","E.g. 'Surface Stain'"
"","Usage","Enum","How this antibody should be used in automatic analysis","E.g. 'Ignored'"
