"#title","Metadata file for mif"
"#preamble","Protocol identifier","test_prism_trial_id"
"#preamble","Assay creator","DFCI"
"#preamble","Slide scanner model","Hamamatsu"
"#preamble","Image analysis software","InForm"
"#preamble","Image analysis software version","2.4.2"
"#preamble","Cell segmentation model","proprietary"
"#preamble","Positive cell detection model","proprietary"
"#preamble","Staining","Bond RX"
"#preamble","Staining date","2001-01-01 00:00:00"
"#preamble","Imaging date","2001-01-01 00:00:00"
"#preamble","Imaging status","Yes"
"#preamble","Panel","Panel 1: PD-L1, CD68, PD-1, CD8, CD3, pan-cytokeratin, DAPI"
"#preamble","Report","qc_report.zip"

"#skip","ROIs"
"#header","Cimac id","Roi id","Im3 file","Composite image","Component data"
"#data","CTTTPP111.00","1","111/1.im3","111/1_composite_image.tif","111/1_component_data.tif"
"#data","CTTTPP121.00","1","121/1.im3","121/1_composite_image.tif","121/1_component_data.tif"
"#data","CTTTPP121.00","2","121/2.im3","121/2_composite_image.tif","121/2_component_data.tif"
