"","Assay priority","Assay type","Receiving party","Courier","Shipping condition","Quality of shipment","Collection event name","Diagnosis verification","Sex","Race","Ethnic group","Collection event name","Cohort name","Type of sample","Sample collection procedure","Type of primary container","Processed sample type","Processed sample volume units","Processed sample concentration units","Pbmc resting period used","Material storage condition","Quality of sample","Sample replacement","Residual sample use"
"","1","Olink","MDA_Wistuba","FEDEX","Frozen_Dry_Ice","Specimen shipment received in good condition","Baseline","Local pathology review was not consistent","Male","American Indian/Alaska Native","Hispanic or Latino","Baseline","Arm_A","Tumor Tissue","Blood Draw","Sodium heparin","Whole Blood","Microliters","Nanogram per Microliter","Yes","RT","Pass","Replacement Not Requested","Sample Returned"
"","2","WES","MDA_Bernatchez","USPS","Frozen_Shipper","Specimen shipment received in poor condition","Pre_Day_1_Cycle_2","Local pathology review was consistent with site of tissue procurement diagnostic pathology report","Female","Asian","Not Hispanic or Latino","Pre_Day_1_Cycle_2","Arm_B","Normal Tissue","Excision","Blood specimen container with EDTA","Plasma","Milliliters","Milligram per Milliliter","No","4oC","Fail","Replacement Requested","Sample Sent to Another Lab"
"","3","IHC","MDA_Al-Atrash","UPS","Ice_Pack","Not Reported","Restaging","Not Available","Not Specified","Black/African American","Not reported","Restaging","Arm_C","Skin Tissue","Core Biopsy","Potassium EDTA","PBMC","Not Reported","Micrograms per Microliter","Not Reported","(-20)oC","Not Reported","Replacement Tested","Sample received from CIMAC"
"","4","CyTOF","MSSM_Gnjatic","Inter-Site Delivery","Ambient","Other","Off_study","Not Reported","Other","Native Hawaiian/Pacific Islander","Unknown","Off_study","Arm_D","Blood","Punch Biopsy","Streck Blood Collection Tube","Buffy Coat","Other","Cells per Vial","Other","(-80)oC","Other","Not Reported","Not Reported"
"","5","ELISA","MSSM_Rahman","","Not Reported","","Cycle_2_Week_3","Other","","White","Other","Cycle_2_Week_3","Arm_E","Bone Marrow","Endoscopic Biopsy","Stool collection container with DNA stabilizer","Bone Marrow Mononuclear Cell","","Not Reported","","LN","","Other","Other"
"","6","","MSSM_Kim-Schulze","","Other","","Cycle_4_Week_7","","","Not Reported","","Cycle_4_Week_7","Arm_F","Cerebrospinal Fluid","Bone Marrow Core Biopsy","Not Reported","Supernatant","","Other","","Not Reported"
"","7","","MSSM_Bongers","","","","Cycle_5_Week_9","","","Unknown","","Cycle_5_Week_9","Arm_G","Lymph Node","Bone Marrow Aspirate","Other","Cell Pellet","","","","Other"
"","8","","DFCI_Wu","","","","Progression","","","Other","","Progression","Arm_H","Stool","Lumbar Puncture","","H&E-Stained Fixed Tissue Slide Specimen"
"","9","","DFCI_Hodi","","","","Cycle_3","","","","","Cycle_3","Arm_I","Not Reported","Aspirate","","Fixed Slide"
"","10","","DFCI_Severgnini","","","","End_of_treatment","","","","","End_of_treatment","Arm_X","Other","Fine-Needle Aspiration","","Tissue Scroll"
"","11","","Broad_Cibulskis","","","","On_Treatment","","","","","On_Treatment","Arm_Y","","Not Reported","","FFPE Punch"
"","12","","Stanf_Maecker","","","","Response","","","","","Response","Arm_Z","","Other","","Not Reported"
"","13","","Stanf_Bendall","","","","Relapse","","","","","Relapse","Arm_1","","","","Other"
"","14","","NCH","","","","Day_8","","","","","Day_8","Arm_2"
"","15","","Adaptive","","","","Cycle_2_Day_1","","","","","Cycle_2_Day_1","EAY131-Z1D"
"","Not Reported","","FNLCR_MoCha","","","","T0","","","","","T0","NSCLC_A"
"","Other","","","","","","T1","","","","","T1","NSCLC_B"
"","","","","","","","T2","","","","","T2","NSCLC_C"
"","","","","","","","T3","","","","","T3","CRC_A"
"","","","","","","","T4","","","","","T4","CRC_B"
"","","","","","","","T5","","","","","T5","Dose_A"
"","","","","","","","T6","","","","","T6","Dose_B"
"","","","","","","","End_of_Treatment","","","","","End_of_Treatment","Dose_C"
"","","","","","","","Progression","","","","","Progression","Dose_D"
"","","","","","","","Other","","","","","Other","Other"
"","","","","","","","Not_reported","","","","","Not_reported","Not_reported"
