"#title","Shipping manifest for pbmc samples"
"#preamble","Manifest id","test_prism_trial_id_PBMC"
"#preamble","Protocol identifier","test_prism_trial_id"
"#preamble","Assay priority","4"
"#preamble","Assay type","Olink"
"#preamble","Receiving party","MSSM_Rahman"
"#preamble","Courier","USPS"
"#preamble","Tracking number","TrackN"
"#preamble","Account number","AccN"
"#preamble","Shipping condition","Frozen_Dry_Ice"
"#preamble","Date shipped","2001-10-10 00:00:00"
"#preamble","Date received","2002-10-10 00:00:00"
"#preamble","Quality of shipment","Specimen shipment received in good condition"
"#preamble","Ship from","ship from"
"#preamble","Ship to","ship to"

