"","Assay priority","Assay type","Receiving party","Courier","Shipping condition","Quality of shipment","Collection event name","Diagnosis verification","Sex","Race","Ethnic group","Cohort name","Collection event name","Type of sample","Sample collection procedure","Type of primary container","Processed sample type","Processed sample volume units","Material used units","Material remaining units","Material storage condition","Quality of sample","Sample replacement","Residual sample use"
"","1","Olink","MDA_Wistuba","FEDEX","Frozen_Dry_Ice","Specimen shipment received in good condition","Baseline","Local pathology review was not consistent","Male","American Indian/Alaska Native","Hispanic or Latino","Arm_A","Baseline","Tumor Tissue","Blood Draw","Sodium heparin","Whole Blood","Microliters","Microliters","Microliters","RT","Pass","Replacement Not Requested","Sample Returned"
"","2","WES","MDA_Bernatchez","USPS","Frozen_Shipper","Specimen shipment received in poor condition","Pre_Day_1_Cycle_2","Local pathology review was consistent with site of tissue procurement diagnostic pathology report","Female","Asian","Not Hispanic or Latino","Arm_B","Pre_Day_1_Cycle_2","Normal Tissue","Excision","Blood specimen container with EDTA","Plasma","Milliliters","Milliliters","Milliliters","4oC","Fail","Replacement Requested","Sample Sent to Another Lab"
"","3","IHC","MDA_Al-Atrash","UPS","Ice_Pack","Not Reported","Restaging","Not Available","Not Specified","Black/African American","Not reported","Arm_C","Restaging","Skin Tissue","Core Biopsy","Potassium EDTA","PBMC","Not Reported","Nanogram per Microliter","Nanogram per Microliter","(-20)oC","Not Reported","Replacement Tested","Sample received from CIMAC"
"","4","CyTOF","MSSM_Gnjatic","Inter-Site Delivery","Ambient","Other","Off_study","Not Reported","Other","Native Hawaiian/Pacific Islander","Unknown","Arm_D","Off_study","Blood","Punch Biopsy","Streck Blood Collection Tube","Buffy Coat","Other","Milligram per Milliliter","Milligram per Milliliter","(-80)oC","Other","Not Reported","Not Reported"
"","5","ELISA","MSSM_Rahman","","Not Reported","","Cycle_2_Week_3","Other","","White","Other","Arm_E","Cycle_2_Week_3","Bone Marrow","Endoscopic Biopsy","Stool collection container with DNA stabilizer","Bone Marrow Mononuclear Cell","","Micrograms per Microliter","Micrograms per Microliter","LN","","Other","Other"
"","6","","MSSM_Kim-Schulze","","Other","","Cycle_4_Week_7","","","Not Reported","","Arm_F","Cycle_4_Week_7","Cerebrospinal Fluid","Bone Marrow Core Biopsy","Not Reported","Supernatant","","Cells per Vial","Cells per Vial","Not Reported"
"","7","","MSSM_Bongers","","","","Cycle_5_Week_9","","","Unknown","","Arm_G","Cycle_5_Week_9","Lymph Node","Bone Marrow Aspirate","Other","Cell Pellet","","Slides","Slides","Other"
"","8","","DFCI_Wu","","","","Progression","","","Other","","Arm_H","Progression","Stool","Lumbar Puncture","","H&E-Stained Fixed Tissue Slide Specimen","","Not Reported","Not Reported"
"","9","","DFCI_Hodi","","","","Cycle_3","","","","","Arm_I","Cycle_3","Not Reported","Aspirate","","Fixed Slide","","Other","Other"
"","10","","DFCI_Severgnini","","","","End_of_treatment","","","","","Arm_X","End_of_treatment","Other","Fine-Needle Aspiration","","Tissue Scroll"
"","11","","Broad_Cibulskis","","","","On_Treatment","","","","","Arm_Y","On_Treatment","","Not Reported","","FFPE Punch"
"","12","","Stanf_Maecker","","","","Response","","","","","Arm_Z","Response","","Other","","Not Reported"
"","13","","Stanf_Bendall","","","","Relapse","","","","","Arm_1","Relapse","","","","Other"
"","14","","NCH","","","","Day_8","","","","","Arm_2","Day_8"
"","15","","Adaptive","","","","Cycle_2_Day_1","","","","","EAY131-Z1D","Cycle_2_Day_1"
"","Not Reported","","FNLCR_MoCha","","","","T0","","","","","NSCLC_A","T0"
"","Other","","","","","","T1","","","","","NSCLC_B","T1"
"","","","","","","","T2","","","","","NSCLC_C","T2"
"","","","","","","","T3","","","","","CRC_A","T3"
"","","","","","","","T4","","","","","CRC_B","T4"
"","","","","","","","T5","","","","","Dose_A","T5"
"","","","","","","","T6","","","","","Dose_B","T6"
"","","","","","","","End_of_Treatment","","","","","Dose_C","End_of_Treatment"
"","","","","","","","Progression","","","","","Dose_D","Progression"
"","","","","","","","Other","","","","","Other","Other"
"","","","","","","","Not_reported","","","","","Not_reported","Not_reported"
