"#t","Shipping manifest for plasma samples"
"#p","Manifest id","TEST123_plasma"
"#p","Protocol identifier","TEST123"
"#p","Assay priority","4"
"#p","Assay type","Olink"
"#p","Receiving party","MDA_Wistuba"
"#p","Courier","USPS"
"#p","Tracking number","TrackN"
"#p","Account number","AccN"
"#p","Shipping condition","Frozen_Dry_Ice"
"#p","Date shipped","2001-10-10 00:00:00"
"#p","Date received","2002-10-10 00:00:00"
"#p","Quality of shipment","Specimen shipment received in good condition"
"#p","Ship from","ship from"
"#p","Ship to","ship to"


